Description,CallType
21235 MOTORSCOOTER,NON EMERGENCY OFFICER REQUIRED
415 BOYFRIEND,SOCIETY
415 FAMILY,SOCIETY
415 FIRE CRACKERS,SOCIETY
415 GUNSHOTS,SOCIETY
415 SHOT SPOTTER GUN,MISC POLICING
415 THREATS,SOCIETY
415 UNKNOWN,SOCIETY
7 DIGIT EMERGENCY LI,SERVICE
911 HANG UP FROM ACC,HANG UP / UNFOUNDED
911 HANG-UP,HANG UP / UNFOUNDED
A'S GAME,MISC POLICING
ABANDONED AUTOMOBILE,311 FILE ONLINE
ABSENT WITHOUT LEAVE,SERVICE
ABUSE OF 911,OTHER
AFTER HOURS IA REFER,MISC POLICING
AGGRAVATED ASSAULT,VIOLENT CRIME
ALARM-MANUALLY ACTIV,SERVICE
ALARM-MEDICAL,MEDICAL
ALARM-RINGER,SERVICE
ALARM-SCHOOL ALARM,SERVICE
ALARM-SILENT,SERVICE
ALARM-TRACKER,SERVICE
"ALCOHOL,BEVERAGE AND",SERVICE
AMBULANCE FOLLOW UP,MEDICAL
AMBULANCE REQUESTED,MEDICAL
ANIMAL BITE,MEDICAL
ANIMAL CONTROL UNIT,SERVICE
ANIMAL-STRAYING,SOCIETY
ANNOY/MOLEST CHILDRE,VIOLENT CRIME
ANNOYING TELEPHONE C,REPORT ONLINE OPD
ARSON,PROPERTY
ASCERTAIN IF AMBULAN,MISC POLICING
ASSAULT,VIOLENT CRIME
ASSAULT ON A POLICE,VIOLENT CRIME
ASSAULT W/DEADLY WEA,VIOLENT CRIME
ASSAULT WITH CAUSTIC,VIOLENT CRIME
ASSIST,MISC POLICING
ASSIST OUTSIDE AGENC,MISC POLICING
ASSOCIATED TYPE FROM,MISC POLICING
ATTEMPT SUICIDE,MEDICAL
ATTEMPTED AUTO THEFT,REPORT ONLINE OPD
ATTEMPTED BURGLARY,REPORT ONLINE OPD
ATTEMPTED EXTORTION,REPORT ONLINE OPD
